lados	l#a-dos
ondulam	on-d#u-lam
tabuleiros	ta-bu-l#ei-ros
pedra	p#e-dra
aflorando	a-flo-r#an-do
lajedos	la-j#e-dos
horizontais	ho-ri-zon-t#ais
vêem-se	v#ê-em-§se
lugares	lu-g#a-res
vão	v#ão
varada	va-r#a-da
estreita	es-tr#ei-ta
faixa	f#ai-xa
cerrados	ce-rr#a-dos
perlongam	per-l#on-gam
daquele	da-qu#e-le
inóspito	i-n#ós-pi-to
galga-se	g#al-ga§-se
ondulação	on-du-la-ç#ão
qualquer	qual-qu#er
ele	#e-le
intercorrem	in-ter-c#o-rrem
ainda	a-#in-da
paragens	pa-r#a-gens
estéreis	es-t#é-reis
lagoas	la-g#o-as
mortas	m#or-tas
bela	b#e-la
associando-se	a-sso-ci-#an-do§-se
às	#às
cacimbas	ca-c#im-bas
caldeirões	cal-dei-r#ões
abre	#a-bre
lúgubre	l#ú-gu-bre
localizadas	lo-ca-li-z#a-das
depressões	de-pre-ss#ões
algumas	al-g#u-mas
denotam	de-n#o-tam
esforço	es-f#or-ço
filhos	f#i-lhos
encontram-se	en-c#on-tram§-se
orlando-as	or-l#an-do§-as
erguidos	er-gu#i-dos
represas	re-pr#e-sas
lembram	l#em-bram
monumentos	mo-nu-m#en-tos
socie	so-c#i-e
dade	d#a-de
patrimônio	pa-tri-m#ô-nio
comum	co-m#um
agitam	a-g#i-tam
aperturas	a-per-t#u-ras
delinearam-nos	de-li-ne-#a-ram§-nos
afoitaram	a-f#oi-ta-ram
persistem	per-s#is-tem
indestrutíveis	in-des-tru-t#í-veis
sertanejo	ser-ta-n#e-jo
transpostos	trans-p#os-tos
estes	#es-tes
imperfeita	im-per-f#ei-ta
avançando	a-van-ç#an-do
célere	c#é-le-re
sobretudo	so-bre-t#u-do
trechos	tr#e-chos
patenteiam-se	pa-ten-te-#i-am§-se
uniformes	u-ni-f#or-mes
mesmos	m#es-mos
num	num
raras	r#a-ras
povoado	po-vo-#a-do
minúsculo	mi-n#ús-cu-lo
despontam	des-p#on-tam
vivendas	vi-v#en-das
pobres	p#o-bres
desertas	de-s#er-tas
cercanias	cer-ca-n#i-as
quirinquinquá	qui-rin-quin-qu#á
porem	p#o-rem
começa	co-m#e-ça
pequeno	pe-qu#e-no
sítio	s#í-tio
ereto	e-r#e-to
alevanta-se	a-le-v#an-ta§-se
perfil	per-f#il
seu	seu
enorme	e-n#or-me
paredão	pa-re-d#ão
termina	ter-m#i-na
crista	cr#is-ta
altíssima	al-t#í-ssi-ma
estremando-lhe	es-tre-m#an-do§-lhe
