desalojadas	de-sa-lo-j#a-das
naturais	na-tu-r#ais
imponentes	im-po-n#en-tes
borda	b#or-da
continua	con-ti-n#u-a
alpestre	al-p#es-tre
caráter	ca-r#á-ter
exposto	ex-p#os-to
abas	#a-bas
cerros	c#e-rros
quartzito	quar-tz#i-to
grimpas	gr#im-pas
empilham	em-p#i-lham
itacolomito	i-ta-co-lo-m#i-to
avassalando	a-va-ssa-l#an-do
aviva	a-v#i-va
desde	d#es-de
maciços	ma-c#i-ços
Branco	br#an-co
Sabará	sa-ba-r#á
zona	z#o-na
diamantina	di-a-man-t#i-na
expandindo-se	ex-pan-d#in-do§-se
nordeste	nor-d#es-te
desenrolam	de-sen-r#o-lam
nivelando-se	ni-ve-l#an-do§-se
cimas	c#i-mas
Espinhaço	es-pi-nh#a-ço
esta	#es-ta
apesar	a-pe-s#ar
sugestiva	su-ges-t#i-va
denominação	de-no-mi-na-ç#ão
Eschwege	es-chw#e-ge
sobressai	so-bre-ss#ai
aquelas	a-qu#e-las
lombadas	lom-b#a-das
definidoras	de-fi-ni-d#o-ras
Dali	da-l#i
descem	d#es-cem
acachoantes	a-ca-cho-#an-tes
levante	le-v#an-te
tombando	tom-b#an-do
catadupas	ca-ta-d#u-pas
saltando	sal-t#an-do
travessões	tra-ve-ss#ões
sucessivos	su-ce-ss#i-vos
Jequitinhonha	je-qui-ti-nh#o-nha
Doce	d#o-ce
procuram	pro-c#u-ram
terraços	te-rr#a-ços
inferiores	in-fe-ri-#o-res
planalto	pla-n#al-to
arrimados	a-rri-m#a-dos
Aimorés	ai-mo-r#és
volvem	v#ol-vem
águas	#á-guas
remansadas	re-man-s#a-das
poente	po-#en-te
destinam	des-t#i-nam
captação	cap-ta-ç#ão
cujo	c#u-jo
vale	v#a-le
percorridas	per-co-rr#i-das
interessantes	in-te-re-ss#an-tes
salpintadas	sal-pin-t#a-das
lagos	l#a-gos
solapadas	so-la-p#a-das
sumidouros	su-mi-d#ou-ros
ribeirões	ri-bei-r#ões
subterrâneos	sub-te-rr#â-ne-os
abrem	#a-brem
cavernas	ca-v#er-nas
pré-histórico	pré§-his-t#ó-ri-co
Lund	lund
acentuam	a-cen-t#u-am
outras	#ou-tras
transições	tran-si-ç#ões
contextura	con-tex-t#u-ra
superficial	su-per-fi-ci-#al
anteriores	an-te-ri-#o-res
vimos	v#i-mos
superpostas	su-per-p#os-tas
graníticas	gra-n#í-ti-cas
decaem	de-c#a-em
vez	v#ez
sotopondo-se	so-to-p#on-do§-se
modernas	mo-d#er-nas
espessos	es-p#e-ssos
Novo	n#o-vo
reponta	re-p#on-ta
original	o-ri-gi-n#al
interessante	in-te-re-ss#an-te
Mal	m#al
estudado	es-tu-d#a-do
caracteriza-o	ca-rac-te-r#i-za§-o
notável	no-t#á-vel
