desalojadas	de-sa-lo-j#a-das
encurralavam	en-cu-rra-l#a-vam
continuavam	con-ti-nu-#a-vam
entranhados	en-tra-nh#a-dos
apertura	a-per-t#u-ra
avançarem	a-van-ç#a-rem
desapertavam	de-sa-per-t#a-vam
Batiam-se	ba-t#i-am§-se
condensara	con-den-s#a-ra
enchendo-as	en-ch#en-do§-as
cediam	ce-d#i-am
vencedores	ven-ce-d#o-res
colhia-os	co-lh#i-a§-os
defendido	de-fen-d#i-do
invadiram-no	in-va-d#i-ram§-no
abarreirando	a-ba-rr#ei-ran-do
Enveredaram	en-ve-re-d#a-ram
pilha	p#i-lha
Voltando-se	vol-t#an-do§-se
detonou-lhes	detonou§-lhes
Sopitando	so-pi-t#an-do
comprimidos	com-pri-m#i-dos
estratagema	es-tra-ta-g#e-ma
profanador	pro-fa-na-d#or
assedio	a-sse-d#i-o
Imobilizava-o	i-mo-bi-li-z#a-va§-o
conservassem	con-ser-v#a-ssem
Fechadas	fe-ch#a-das
admitida	ad-mi-t#i-da
assediados	a-sse-di-#a-dos
duraria	du-ra-r#i-a
intermitiram	in-ter-mi-t#i-ram
contínuos	con-t#í-nuos
visavam	vi-s#a-vam
rasgar	ras-g#ar
Empenhando-se	em-pe-nh#an-do§-se
atendiam	a-ten-d#i-am
momentânea	mo-men-t#â-ne-a
rebalsados	re-bal-s#a-dos
borrachas	bo-rr#a-chas
enchendo	en-ch#en-do
arcados	ar-c#a-dos
foi-se	f#oi§-se
Descoberto	des-co-b#er-to
joeirando	jo-#ei-ran-do
atingindo-lhes	atingindo§-lhes
lamacerios	la-ma-ce-r#i-os
sugavam	su-g#a-vam
salobro	sa-l#o-bro
impuro	im-p#u-ro
Substituíam-nos	subs-ti-tu-#í-am-§nos
descuidassem	des-c#ui-da-ssem
conhecendo-lhes	conhecendo§-lhes
Aguardavam-nos	a-guar-d#a-vam§-nos
frechando	fre-ch#an-do
divisavam-nos	di-vi-s#a-vam§-nos
diluídos	di-lu-#í-dos
rentes	r#en-tes
rastejar	ras-te-j#ar
serpejante	ser-pe-j#an-te
sáurios	s#áu-rios
esteiro	es-t#ei-ro
Seguravam	se-gu-r#a-vam
Deixavam-nos	d#ei-xa-vam§-nos
lampejava	lam-pe-j#a-va
Fulminavam-nos	ful-mi-n#a-vam§-nos
Percebiam-se	per-ce-b#i-am§-se
Transpunha	trans-p#u-nha
custavam	cus-t#a-vam
pressentia	pre-ssen-t#i-a
tóxico	t#ó-xi-co
ptomaínas	pto-ma-#í-nas
fosfatos	fos-f#a-tos
decompostos	de-com-p#os-tos
jazentes	ja-z#en-tes
insepultos	in-se-p#ul-tos
culminaram	cul-mi-n#a-ram
Comoviam	co-mo-v#i-am
borrifados	bo-rri-f#a-dos
encobriam	en-co-br#i-am
oferecia	o-fe-re-c#i-a
imortalizava	i-mor-ta-li-z#a-va
bojava	bo-j#a-va
deslizando-lhe	des-li-z#an-do§-lhe
subindo-lhe	su-b#in-do§-lhe
derrocadas	de-rro-c#a-das
borco	b#or-co
coriscar	co-ris-c#ar
marasmava	ma-ras-m#a-va
replicaram	re-pli-c#a-ram
criminosamente	cri-mi-no-sa-m#en-te
saudada	s#au-da-da
viris	vi-r#is
soavam	so-#a-vam
andava-se	an-d#a-va§-se
perlustrando	per-lus-tr#an-do
improvisavam-se	im-pro-vi-s#a-vam§-se
banquetes	ban-qu#e-tes
retretas	re-tr#e-tas
Percorria-se	per-co-rr#i-a§-se
respectivos	res-pec-t#i-vos
atraentíssimo	a-tra-en-t#í-ssi-mo
ripas	r#i-pas
carbonizadas	car-bo-ni-z#a-das
construídas	cons-tru-#í-das
defrontando-se	de-fron-t#an-do§-se
empachadas	em-pa-ch#a-das
arrombados	a-rrom-b#a-dos
atônito	a-t#ô-ni-to
pungente	pun-g#en-te
angustiosa	an-gus-ti-#o-sa
inflexos	in-fl#e-xos
crispar	cris-p#ar
madeiramentos	ma-d#ei-ra-men-tos
emagrecidos	e-ma-gre-c#i-dos
liam-se	l#i-am§-se
ardiam	ar-d#i-am
incinerados	in-ci-ne-r#a-dos
desenhavam	de-se-nh#a-vam
esbatida	es-ba-t#i-da
brancura	bran-c#u-ra
caricaturas	ca-ri-ca-t#u-ras
giz	g#iz
Seguia-se	se-g#ui-a§-se
esterquilínio	es-ter-qui-l#í-nio
monturos	mon-t#u-ros
ciscalhagem	cis-ca-lh#a-gem
baús	ba-#ús
bancos	b#an-cos
berços	b#er-ços
vasilhames	va-si-lh#a-mes
amassados	a-ma-ss#a-dos
caqueiradas	ca-qu#ei-ra-das
pratos	pr#a-tos
xícaras	x#í-ca-ras
cru	cr#u
candeeiros	can-de-#ei-ros
amolgados	a-mol-g#a-dos
caxerenguengues	ca-xe-ren-gu#en-gues
rombos	r#om-bos
delatasse	de-la-t#a-sse
Pululavam	pu-lu-l#a-vam
policrômicas	po-li-cr#ô-mi-cas
vidro	v#i-dro
rocas	r#o-cas
fusos	f#u-sos
conservada	con-ser-v#a-da
quaderninhos	qua-der-n#i-nhos
costurados	cos-tu-r#a-dos
cristãs	cris-t#ãs
amarfanhadas	a-mar-fa-nh#a-das
crucifixos	cru-ci-f#i-xos
cuidadosamente	c#ui-da-do-sa-men-te
aceiro	a-c#ei-ro
atingissem	a-tin-g#i-ssem
Varava-se	va-r#a-va§-se
Topava-se	to-p#a-va§-se
recomendava	re-co-men-d#a-va
cautela	c#au-te-la
paliçada	pa-li-ç#a-da
agachados	a-ga-ch#a-dos
cômicos	c#ô-mi-cos
Quebravam	que-br#a-vam
conversando	con-ver-s#an-do
cochichos	co-ch#i-chos
enfiadas	en-fi-#a-das
resguardavam	res-guar-d#a-vam
volvia-se	vol-v#i-a§-se
verdadeira	ver-da-d#ei-ra
alinhada	a-li-nh#a-da
encontrado	en-con-tr#a-do
divisando-se	di-vi-s#an-do§-se
lanço	l#an-ço
estacava-se	es-ta-c#a-va§-se
entrincheiramento	en-trin-ch#ei-ra-men-to
acotovelavam-se	a-co-to-ve-l#a-vam§-se
cautas	c#au-tas
segredando	se-gre-d#an-do
arrastamentos	a-rras-ta-m#en-tos
dramáticas	dra-m#á-ti-cas
vésperas	v#és-pe-ras
amedrontador	a-me-dron-ta-d#or
definindo-lhe	de-fi-n#in-do§-lhe
Derrubadas	de-rru-b#a-das
empenas	em-p#e-nas
coberturas	co-ber-t#u-ras
longuíssimo	lon-gu#í-ssi-mo
armazém	ar-ma-z#ém
abarracado	a-ba-rra-c#a-do
Adivinhavam-se	a-di-vi-nh#a-vam§-se
guarnecendo-a	guar-ne-c#en-do§-a
lobrigavam-se	lo-bri-g#a-vam§-se
Impregnava	im-preg-n#a-va
bafio	ba-f#i-o
ladeando-o	la-de-#an-do§-o
enfrestadas	en-fres-t#a-das
descuido	des-c#ui-do
ciscalhos	cis-c#a-lhos
avivadas	a-vi-v#a-das
ódios	#ó-dios
finalizar	fi-na-li-z#ar
temiam-se	te-m#i-am§-se
Evitavam	e-vi-t#a-vam
Negaceavam	ne-ga-ce-#a-vam
proditória	pro-di-t#ó-ria
quietitude	qui-e-ti-t#u-de
Imóveis	i-m#ó-veis
adinamia	a-di-na-m#i-a
espiavam-se	es-pi-#a-vam§-se
traiçoeiros	trai-ço-#ei-ros
tocaiando-se	to-cai-#an-do§-se
ostentarem	os-ten-t#a-rem
esfrangalhados	es-fran-ga-lh#a-dos
acreditava-se	a-cre-di-t#a-va§-se
insinuar-se	in-si-nu-#ar§-se
tapume	ta-p#u-me
quedar	que-d#ar
conhecessem	co-nhe-c#e-ssem
facilitado	fa-ci-li-t#a-do
atraiçoaria	a-tr#ai-ço-a-ri-a
deveres	de-v#e-res
extinguira	ex-tin-gu#i-ra
revistas	re-v#is-tas
Distribuídos	dis-tri-bu-#í-dos
encostava	en-cos-t#a-va
cacaréus	ca-ca-r#éus
Distribuídas	dis-tri-bu-#í-das
preparava	pre-pa-r#a-va
antojava	an-to-j#a-va
cubículos	cu-b#í-cu-los
trempes	tr#em-pes
chiavam	chi-#a-vam
chaleiras	cha-l#ei-ras
aquentando	a-quen-t#an-do
ferviam	fer-v#i-am
panelas	pa-n#e-las
pendurados	pen-du-r#a-dos
caibros	c#ai-bros
assando	a-ss#an-do
sobraçadas	so-bra-ç#a-das
trégua	tr#é-gua
canecos	ca-n#e-cos
acubaj	a-c#u-baj
nacos	n#a-cos
churrasco	chu-rr#as-co
estacada	es-ta-c#a-da
zuniam	zu-n#i-am
esfuziantes	es-fu-zi-#an-tes
estilhaçando	es-ti-lha-ç#an-do
esbotenando	es-bo-te-n#an-do
emborcando	em-bor-c#an-do
palhas	p#a-lhas
tabique	ta-b#i-que
donde	d#on-de
Imitavam-nos	i-mi-t#a-vam§-nos
travava-se	tra-v#a-va§-se
Conquistavam-se	con-quis-t#a-vam§-se
empurrando-se	em-pu-rr#an-do§-se
cangalhada	can-ga-lh#a-da
encurvando-se	en-cur-v#an-do§-se
talhante	ta-lh#an-te
tapada	ta-p#a-da
brasidos	bra-s#i-dos
merendas	me-r#en-das
assassinados	a-ssa-ssi-n#a-dos
Deixava-se	d#ei-xa-va§-se
Prosseguia-se	pro-sse-g#ui-a§-se
quintalejos	quin-ta-l#e-jos
circalhagem	cir-ca-lh#a-gem
surdindo	sur-d#in-do
retesamento	re-te-sa-m#en-to
espalmadas	es-pal-m#a-das
crispaduras	cris-pa-d#u-ras
apodrecendo	a-po-dre-c#en-do
apelos	a-p#e-los
excruciantes	ex-cru-ci-#an-tes
Deparavam-se	de-pa-r#a-vam§-se
viventes	vi-v#en-tes
gozos	g#o-zos
magríssimos	ma-gr#í-ssi-mos
famélicos	fa-m#é-li-cos
lebréus	le-br#éus
pelados	pe-l#a-dos
lepra	l#e-pra
respirando	res-pi-r#an-do
chacais	cha-c#ais
devorando	de-vo-r#an-do
Fugiam	fu-g#i-am
cães	c#ães
molossos	mo-l#o-ssos
ossudos	o-ss#u-dos
afastavam-se	a-fas-t#a-vam§-se
rosnaduras	ros-na-d#u-ras
adivinhando	a-di-vi-nh#an-do
Ia-se	#i-a§-se
escavada	es-ca-v#a-da
canalizavam	ca-na-li-z#a-vam
interopostas	in-te-ro-p#os-tas
atingirse	a-tin-g#ir-se
arruamento	a-rru-a-m#en-to
acompanhando-lhe	a-com-pa-nh#an-do§-lhe
caindo-lhe	ca-#in-do§-lhe
envesgando-lhe	en-ves-g#an-do§-lhe
desmanchadas	des-man-ch#a-das
improvisavam	im-pro-vi-s#a-vam
salas	s#a-las
ranchos	r#an-chos
ferreiro	fe-rr#ei-ro
Mostravam-no	mos-tr#a-vam§-no
derruída	de-rru-#í-da
forja	f#or-ja
ferraria	fe-rra-r#i-a
bigorna	bi-g#or-na
fundira	fun-d#i-ra
Essen	e-ss#en
deixadas	d#ei-xa-das
achanada	a-cha-n#a-da
adro	#a-dro
Dados	d#a-dos
fronteava-se	fron-te-#a-va§-se
Transpunha-se	trans-p#u-nha§-se
enfiava-se	en-fi-#a-va§-se
dizimadas	di-zi-m#a-das
balcão	bal-c#ão
Contemplava-se	con-tem-pl#a-va§-se
Modificara-se	mo-di-fi-c#a-ra§-se
escurentas	es-cu-r#en-tas
devastado	de-vas-t#a-do
abrigavam	a-bri-g#a-vam
suportariam	su-por-ta-r#i-am
Valia	va-l#i-a
tentá-lo	ten-t#á§-lo
mobilizaram-se	mo-bi-li-z#a-ram§-se
ocupando	o-cu-p#an-do
endurada	en-du-r#a-da
recém-vinda	re-c#ém-§v#in-da
contramarchando	con-tra-mar-ch#an-do
Completariam	com-ple-ta-r#i-am
secundários	se-cun-d#á-rios
supletivos	su-ple-t#i-vos
tomariam	to-ma-r#i-am
conservariam	con-ser-va-r#i-am
estenderiam	es-ten-de-r#i-am
substituírem-nos	subs-ti-tu-#í-rem-§nos
reforçarem-nos	re-for-ç#a-rem-§nos
deslocando-se	des-lo-c#an-do§-se
cosia	co-s#i-a
arrochar	a-rro-ch#ar
colaborariam	co-la-bo-ra-r#i-am
recém-conquistadas	re-c#ém-§con-quis-t#a-das
Interviriam	in-ter-vi-r#i-am
tombassem	tom-b#a-ssem
entrariam	en-tra-r#i-am
expugnar-se	ex-pug-n#ar§-se
emudecessem	e-mu-de-c#e-ssem
exigissem	e-xi-g#i-ssem
atingidos	a-tin-g#i-dos
seguiria	se-gui-r#i-a
estenderia	es-ten-de-r#i-a
investissem	in-ves-t#i-ssem
acometesse	a-co-me-t#e-sse
Convergia	con-ver-g#i-a
findava	fin-d#a-va
Durou	du-r#ou
esmagador	es-ma-ga-d#or
Dava-se	d#a-va§-se
desbravado	des-bra-v#a-do
sobreviessem	so-bre-vi-#e-ssem
executasse	e-xe-cu-t#a-sse
desabamentos	de-sa-ba-m#en-tos
prensando	pren-s#an-do
terrões	te-rr#ões
toldada	tol-d#a-da
perder-se	per-d#er§-se
ricochetes	ri-co-ch#e-tes
basculhavam	bas-cu-lh#a-vam
revolvendo-lhes	revolvendo§-lhes
desenfiados	de-sen-fi-#a-dos
resguardassem	res-guar-d#a-ssem
antepostos	an-te-p#os-tos
esquírola	es-qu#í-ro-la
virulência	vi-ru-l#ên-cia
supor	su-p#or
fugido	fu-g#i-do
Vibrou	vi-br#ou
clarim	cla-r#im
trilhava	tri-lh#a-va
destacou	des-ta-c#ou
Viram-no	v#i-ram§-no
alinhado	a-li-nh#a-do
corretamente	co-rre-ta-m#en-te
desarticulou-se	de-sar-ti-cu-l#ou§-se
destruída	des-tru-#í-da
distanciaram-se	dis-tan-ci-#a-ram§-se
enredado	en-re-d#a-do
entrebatendo-se	en-tre-ba-t#en-do§-se
surpreendedoramente	sur-pre-en-de-do-ra-m#en-te
Fortemente	for-te-m#en-te
Modificavam-se	mo-di-fi-c#a-vam§-se
fracionavam-se	fra-ci-o-n#a-vam§-se
embitesgando	em-bi-tes-g#an-do
distinguiram	dis-tin-gu#i-ram
expluíam	ex-plu-#í-am
clangores	clan-g#o-res
embebidas	em-be-b#i-das
permaneceram	per-ma-ne-c#e-ram
estacionadas	es-ta-ci-o-n#a-das
beiradas	b#ei-ra-das
entrincheiravam-se	en-trin-ch#ei-ra-vam§-se
assumiam	a-ssu-m#i-am
Quedaram	que-d#a-ram
Caíam-lhes	ca-#í-am-§lhes
assaltando-os	a-ssal-t#an-do§-os
trepados	tre-p#a-dos
caliça	ca-l#i-ça
trabucada	tra-bu-c#a-da
ferretoado	fe-rre-to-#a-do
ampliar	am-pli-#ar
lançando	lan-ç#an-do
Lançava-se	lan-ç#a-va-§se
serpear	ser-pe-#ar
rapidíssimo	ra-pi-d#í-ssi-mo
desdobradas	des-do-br#a-das
deflagração	de-fla-gra-ç#ão
escapante	es-ca-p#an-te
enleou	en-le-#ou
Coruscou	co-rus-c#ou
relâmpago	re-l#âm-pa-go
fragmento	frag-m#en-to
excessivas	e-xce-ss#i-vas
absorvera-as	ab-sor-v#e-ra§-as
absorvera	ab-sor-v#e-ra
absolver	ab-sol-v#er
Duplicavam	du-pli-c#a-vam
Aumentou	au-men-t#ou
ampliaram-se	am-pli-#a-ram§-se
ardeu	ar-d#eu
afumadura	a-fu-ma-d#u-ra
embruscados	em-brus-c#a-dos
branqueava	bran-que-#a-va
mobilizado	mo-bi-li-z#a-do
patente	pa-t#en-te
baquearam	ba-que-#a-ram
Queirós	quei-r#ós
originara	o-ri-gi-n#a-ra
idolatravam-no	i-do-la-tr#a-vam§-no
vocação	vo-ca-ç#ão
casava-se	ca-s#a-va§-se
jogara	jo-g#a-ra
tinham-no	t#i-nham§-no
poupado	p#ou-pa-do
arranhando-o	a-rra-nh#an-do§-o
rendandolhe	ren-dan-d#o-lhe
amolgando-lhe	a-mol-g#an-do§-lhe
talim	ta-l#im
fulminou-o	ful-mi-n#ou§-o
binóculo	bi-n#ó-cu-lo
traspassou-lhe	tras-pa-ss#ou§-lhe
Atirou-o	a-ti-r#ou§-o
vingá-lo	vin-g#á§-lo
Correu-lhe	co-rr#eu§-lhe
transmontou	trans-mon-t#ou
Embateu	em-ba-t#eu
arrojou-se	a-rro-j#ou§-se
rugindo	ru-g#in-do
esbarrando	es-ba-rr#an-do
arrombando-as	a-rrom-b#an-do§-as
travando-se	tra-v#an-do§-se
pugilatos	pu-gi-l#a-tos
temerárias	te-me-r#á-rias
Sopeou-a	so-pe-#ou§-a
estortegar	es-tor-te-g#ar
quebrava	que-br#a-va
alentou-as	a-len-t#ou§-as
cadete	ca-d#e-te
cravara	cra-v#a-ra
saltou	sal-t#ou
retumbando	re-tum-b#an-do
inopinado	i-no-pi-n#a-do
amorteceram	a-mor-te-c#e-ram
desbordou	des-bor-d#ou
desceram	des-c#e-ram
abraçando-se	a-bra-ç#an-do-§se
torvelinhando	tor-ve-li-nh#an-do
defrontava	de-fron-t#a-va
Esvaziou-se	es-va-zi-#ou§-se
vassourada	va-ss#ou-ra-da
esgueirando-se	es-gu#ei-ran-do§-se
protetoras	pro-te-t#o-ras
tragando	tra-g#an-do
menoscabados	me-nos-ca-b#a-dos
chasqueados	chas-que-#a-dos
agonizar	a-go-ni-z#ar
memorados	me-mo-r#a-dos
acabaria	a-ca-ba-r#i-a
devorá-los	de-vo-r#á§-los
acalcanhar	a-cal-ca-nh#ar
revóveres	re-v#ó-ve-res
degolamentos	de-go-la-m#en-tos
derrocados	de-rro-c#a-dos
consoladora	con-so-la-d#o-ra
Impunham-se	im-p#u-nham§-se
irresignável	i-rre-sig-n#á-vel
engenhadas	en-ge-nh#a-das
Tinham-nas	t#i-nham§-nas
previdentes	pre-vi-d#en-tes
conduzir	con-du-z#ir
invertiam	in-ver-t#i-am
enrijavam-nos	en-ri-j#a-vam§-nos
robustecia-os	ro-bus-te-c#i-a§-os
empedernia-os	em-pe-der-n#i-a§-os
entalhava-se	en-ta-lh#a-va§-se
Atacava-se	a-ta-c#a-va§-se
avassalou	a-va-ssa-l#ou
sismais	sis-m#ais
despegados	des-pe-g#a-dos
desaprumaram-se	de-sa-pru-m#a-ram§-se
voaram	vo-#a-ram
tufou	tu-f#ou
espessando	es-pe-ss#an-do
irreprimidas	i-rre-pri-m#i-das
retumbou	re-tum-b#ou
atroada	a-tro-#a-da
acabado	a-ca-b#a-do
diluísse	di-lu-#í-sse
acobertaram-se	a-co-ber-t#a-ram§-se
esgueiraram-se	es-gu#ei-ra-ram§-se
pularam	pu-l#a-ram
atordoava-os	a-tor-do-#a-va§-os
lamentos	la-m#en-tos
exaspero	e-xas-p#e-ro
turturada	tur-tu-r#a-da
rugia	ru-g#i-a
chorava	cho-r#a-va
lumaréus	lu-ma-r#éus
habitáculos	ha-bi-t#á-cu-los
esturrados	es-tu-rr#a-dos
fumarentos	fu-ma-r#en-tos
cuidarem	c#ui-da-rem
laivadas	l#ai-va-das
mascarras	mas-c#a-rras
bustos	b#us-tos
escoriados	es-co-ri-#a-dos
embatendo-as	em-ba-t#en-do§-as
esmoreciam	es-mo-re-c#i-am
Verificaram	ve-ri-fi-c#a-ram
Desanimavam	de-sa-ni-m#a-vam
Perderam	per-d#e-ram
contrabatiam-se	con-tra-ba-t#i-am§-se
interferentes	in-ter-fe-r#en-tes
entendesse	en-ten-d#e-sse
obedecê-los	o-be-de-c#ê§-los
imobilizavam-se	i-mo-bi-li-z#a-vam§-se
subdividiam-se	sub-di-vi-d#i-am§-se
embatiam	em-ba-t#i-am
contornavam-nas	con-tor-n#a-vam§-nas
dispersavam-se	dis-per-s#a-vam§-se
amalgamavam	a-mal-ga-m#a-vam
fuzilaram-nos	fu-zi-l#a-ram§-nos
alongaram-se	a-lon-g#a-ram§-se
flamejante	fla-me-j#an-te
capitão-secretário	ca-pi-t#ão-se-cre-tá-rio
retirou-se	re-ti-r#ou§-se
acobertava	a-co-ber-t#a-va
animar	a-ni-m#ar
pronunciou	pro-nun-ci-#ou
Varou-o	va-r#ou§-o
debater-se	de-ba-t#er§-se
aconchegou-a	a-con-che-g#ou§-a
salvou-a	sal-v#ou§-a
expusera-se	ex-pu-s#e-ra§-se
transformara-se	trans-for-m#a-ra§-se
atestando	a-tes-t#an-do
avaliavam-nas	a-va-li-#a-vam§-nas
contorneando	con-tor-ne-#an-do
espalhadas	es-pa-lh#a-das
continha	con-t#i-nha
entulhavam-na	en-tu-lh#a-vam§-na
desbordavam	des-bor-d#a-vam
arrastavam-se	a-rras-t#a-vam§-se
pavilhão	pa-vi-lh#ão
cruzavam	cru-z#a-vam
enfermeiros	en-fer-m#ei-ros
cotovelos	co-to-v#e-los
olhavam	o-lh#a-vam
Neville	ne-v#il-le
suarentos	su-a-r#en-tos
Despejavam-nas	des-pe-j#a-vam§-nas
melhorara	me-lho-r#a-ra
Mantinha-se	man-t#i-nha§-se
Insistentes	in-sis-t#en-tes
reproduziam-se	re-pro-du-z#i-am§-se
metal	me-t#al
detonando	de-to-n#an-do
estouravam	es-t#ou-ra-vam
Adicionaram-se	a-di-ci-o-n#a-ram§-se
latas	l#a-tas
querosene	que-ro-s#e-ne
derramadas	de-rra-m#a-das
resultara	re-sul-t#a-ra
paralisou	pa-ra-li-s#ou
doíam	do-#í-am
Defluindo	de-flu-#in-do
cosendo-se	co-s#en-do§-se
varrendo-as	va-rr#en-do§-as
varejando-os	va-re-j#an-do§-os
sibilando	si-bi-l#an-do
reduzidíssima	re-du-zi-d#í-ssi-ma
acantonavam	a-can-to-n#a-vam
cruento	cru-#en-to
Desfalcara-nos	des-fal-c#a-ra§-nos
velando-a	ve-l#an-do§-a
malogrados	ma-lo-gr#a-dos
pioram	pi-#o-ram
Cercavam-nos	cer-c#a-vam§-nos
progredindo-lhes	progredindo§-lhes
obstringindo-os	obs-trin-g#in-do§-os
Translademos	trans-la-d#e-mos
alterar	al-te-r#ar
desenrolavam	de-sen-ro-l#a-vam
Chegam	ch#e-gam
esperados	es-pe-r#a-dos
Agitara-se	a-gi-t#a-ra§-se
Rendiam-se	ren-d#i-am§-se
soaram	so-#a-ram
apresentaram	a-pre-sen-t#a-ram
acólito	a-c#ó-li-to
Mulato	mu-l#a-to
rala	r#a-la
emoldurava-lhe	e-mol-du-r#a-va§-lhe
límpidos	l#ím-pi-dos
arrimava-se	a-rri-m#a-va§-se
esteava	es-te-#a-va
correto	co-rr#e-to
sílaba	s#í-la-ba
você	vo-c#ê
Saiba	s#ai-ba
doutor	dou-t#or
sou	s#ou
vim	v#im
agüenta	a-gu#en-ta
circunstantes	cir-cuns-t#an-tes
Explicou	ex-pli-c#ou
recebera	re-ce-b#e-ra
atingindo-o	a-tin-g#in-do§-o
Santuário	san-tu-#á-rio
morrera	mo-rr#e-ra
disenteria	di-sen-te-r#i-a
caminheira	ca-mi-nh#ei-ra
horrendamente	ho-rren-da-m#en-te
cômica	c#ô-mi-ca
irreprimidos	i-rre-pri-m#i-dos
Fingiu	fin-g#iu
perceber	per-ce-b#er
frecha	fr#e-cha
Batalhei	ba-ta-lh#ei
porção	por-ç#ão
querem	qu#e-rem
agüentam	a-gu#en-tam
mete	m#e-te
podes	p#o-des
trazê-los	tra-z#ê§-los
Posso	p#o-sso
sa	s#a
quanta	qu#an-ta
fiquei	fi-qu#ei
espantado	es-pan-t#a-do
desmanchou-se	des-man-ch#ou§-se
Volte	v#ol-te
diga	d#i-ga
entreguem	en-tr#e-guem
morrerão	mo-rre-r#ão
Garanto-lhes	Garanto§-lhes
Serão	se-r#ão
diga-lhes	diga§-lhes
recusava-se	re-cu-s#a-va§-se
Temia	te-m#i-a
Apresentava	a-pre-sen-t#a-va
Chamava-se	cha-m#a-va§-se
Bernabé	ber-na-b#é
flamengo	fla-m#en-go
conjetura	con-je-t#u-ra
trataram	tra-t#a-ram
Brilhavam-lhe	bri-lh#a-vam§-lhe
revestia-lhe	re-ves-t#i-a§-lhe
basto	b#as-to
Apresentou	a-pre-sen-t#ou
credencial	cre-den-ci-#al
mostrar-se	mos-tr#ar§-se
duma	d#u-ma
linhagem	li-nh#a-gem
sobrinha	so-br#i-nha
Celeste	ce-l#es-te
desabusado	de-sa-bu-s#a-do
Homem	h#o-mem
falo	f#a-lo
deixe	d#ei-xe
maestria	ma-es-tr#i-a
libertos	li-b#er-tos
concorrente	con-co-rr#en-te
Consumado	con-su-m#a-do
diplomata	di-plo-m#a-ta
entes	#en-tes
aliviara	a-li-vi-#a-ra
cilada	ci-l#a-da
engenhara	en-ge-nh#a-ra
astuciosamente	as-tu-ci-o-sa-m#en-te
aventurada	a-ven-tu-r#a-da
agira	a-g#i-ra
considerassem	con-si-de-r#a-ssem
alentava-o	a-len-t#a-va§-o
admissível	ad-mi-ss#í-vel
devotar-se	de-vo-t#ar§-se
sagração	sa-gra-ç#ão
desejava	de-se-j#a-va
ardentemente	ar-den-te-m#en-te
esclarecido	es-cla-re-c#i-do
parlamentar	par-la-men-t#ar
voltara	vol-t#a-ra
instruindo-os	ins-tru-#in-do§-os
exercitado	e-xer-ci-t#a-do
cajado	ca-j#a-do
oscilava-lhe	os-ci-l#a-va§-lhe
isocronamente	i-so-cro-na-m#en-te
batuta	ba-t#u-ta
compassando	com-pa-ss#an-do
contemplavam-nos	con-tem-pl#a-vam§-nos
comoviam-se	co-mo-v#i-am§-se
punha-lhes	punha§-lhes
Custava-lhes	Custava§-lhes
bombardeados	bom-bar-de-#a-dos
Contemplando-lhes	Contemplando§-lhes
baços	b#a-ços
arcabouços	ar-ca-b#ou-ços
sujos	s#u-jos
mulambos	mu-l#am-bos
lanhos	l#a-nhos
escaras	es-c#a-ras
escalavros	es-ca-l#a-vros
Envergonhava	en-ver-go-nh#a-va
apresamento	a-pre-sa-m#en-to
caqueirada	ca-qu#ei-ra-da
angulhenta	an-gu-lh#en-ta
passando-lhes	passando§-lhes
enxurro	en-x#u-rro
suspender	sus-pen-d#er
domado	do-m#a-do
envelhecidas	en-ve-lhe-c#i-das
escaveiradas	es-ca-v#ei-ra-das
sujas	s#u-jas
escanchados	es-can-ch#a-dos
quadris	qua-dr#is
desnalgados	des-nal-g#a-dos
encarapitados	en-ca-ra-pi-t#a-dos
opilados	o-pi-l#a-dos
túmídas	t#ú-mí-das
Pormenorizava-se	por-me-no-ri-z#a-va§-se
soerguindo	so-er-gu#in-do
perturbava	per-tur-b#a-va
Forçava	for-ç#a-va
Voltava-se	vol-t#a-va§-se
impassíveis	im-pa-ss#í-veis
Rígidos	r#í-gi-dos
anciãos	an-ci-#ãos
culminando-lhes	culminando§-lhes
velhice	ve-lh#i-ce
respeitosamente	res-p#ei-to-sa-men-te
desbarretavam	des-ba-rre-t#a-vam
Destacou-se	des-ta-c#ou§-se
Octogenário	oc-to-ge-n#á-rio
Marchava	mar-ch#a-va
Considerava	con-si-de-r#a-va
reatava	re-a-t#a-va
Rezava	re-z#a-va
Aguardava	a-guar-d#a-va
Caídos	ca-#í-dos
gemiam	ge-m#i-am
estortegavam	es-tor-te-g#a-vam
adolescentes	a-do-les-c#en-tes
franzinos	fran-z#i-nos
grenhas	gr#e-nhas
despenteadas	des-pen-te-#a-das
resolvendo	re-sol-v#en-do
desastradamente	de-sas-tra-da-m#en-te
canhestras	ca-nh#es-tras
amas-secas	amas§-s#e-cas
megera	me-g#e-ra
assustadora	a-ssus-ta-d#o-ra
magra	m#a-gra
hedionda	he-di-#on-da
espáduas	es-p#á-duas
emaranhados	e-ma-ra-nh#a-dos
rompia	rom-p#i-a
menina	me-n#i-na
neta	n#e-ta
bisneta	bis-n#e-ta
tataraneta	ta-ta-ra-n#e-ta
horrorizava	ho-rro-ri-z#a-va
maxilares	ma-xi-l#a-res
alvíssimos	al-v#í-ssi-mos
cicatrizada	ci-ca-tri-z#a-da
sorria	so-rr#i-a
dolorosíssimo	do-lo-ro-s#í-ssi-mo
aformoseando	a-for-mo-se-#an-do
extinguindose	ex-tin-guin-d#o-se
atáxica	a-t#á-xi-ca
represando	re-pre-s#an-do
globo	gl#o-bo
impressas	im-pr#e-ssas
